,move,best_move,fen_position,eval_drop,color,game_uuid,result,time_control
586,a4c4,g2c6,r1bqk1nr/ppp2ppp/2nbp3/8/Q1p5/2N3P1/PP1PPPBP/R1B1K1NR w KQkq - 4 6,0.32999999999999996,w,756eaeaf-b2fa-11ee-8ec0-6cfe544c0428,resigned,180
587,c4b3,g1f3,r2qk1nr/pppb1ppp/2nbp3/8/2Q5/2N3P1/PP1PPPBP/R1B1K1NR w KQkq - 1 7,0.52,w,756eaeaf-b2fa-11ee-8ec0-6cfe544c0428,resigned,180
588,c3b5,d2d4,1r1q1rk1/pppb1ppp/2nbpn2/8/8/1QN2NP1/PP1PPPBP/R1B2RK1 w - - 7 10,0.6799999999999999,w,756eaeaf-b2fa-11ee-8ec0-6cfe544c0428,resigned,180
589,f1g2,g1f3,rnbqkbnr/ppp1pppp/8/3p4/8/6P1/PPPPPP1P/RNBQKBNR w KQkq - 0 2,0.42000000000000004,w,2039d325-b2fb-11ee-8ec0-6cfe544c0428,win,180
590,b1c3,d1b3,rn1qkbnr/ppp2ppp/4p3/3p1b2/2P5/6P1/PP1PPPBP/RNBQK1NR w KQkq - 0 4,0.6,w,2039d325-b2fb-11ee-8ec0-6cfe544c0428,win,180
591,f1g2,c2c4,rnbqkbnr/pppp1ppp/8/4p3/8/6P1/PPPPPP1P/RNBQKBNR w KQkq - 0 2,0.49,w,3bbb4c67-b2fb-11ee-8ec0-6cfe544c0428,resigned,180
592,c3d5,d2d4,rn1qkb1r/ppp2ppp/2bp1n2/4p3/2P5/1QN2NP1/PP1PPPBP/R1B2RK1 w kq - 8 8,0.5399999999999998,w,3bbb4c67-b2fb-11ee-8ec0-6cfe544c0428,resigned,180
593,d2d3,d2d4,rn1qk2r/ppp1bppp/2bp1n2/3Np3/2P5/1Q3NP1/PP1PPPBP/R1B2RK1 w kq - 10 9,1.0,w,3bbb4c67-b2fb-11ee-8ec0-6cfe544c0428,resigned,180
594,d5f6,d5e7,rnq1k2r/ppp1bppp/2bp1n2/3Np3/2P5/1Q1P1NP1/PP2PPBP/R1B2RK1 w kq - 1 10,1.58,w,3bbb4c67-b2fb-11ee-8ec0-6cfe544c0428,resigned,180
595,f1g2,g1f3,rnbqkbnr/ppp1pppp/8/3p4/8/6P1/PPPPPP1P/RNBQKBNR w KQkq - 0 2,0.4,w,7274bd80-b2fc-11ee-8ec0-6cfe544c0428,win,180
596,b1c3,g1f3,rnbqkb1r/pp2pppp/2p2n2/3p4/2P5/6P1/PP1PPPBP/RNBQK1NR w KQkq - 0 4,0.77,w,7274bd80-b2fc-11ee-8ec0-6cfe544c0428,win,180
597,f1g2,g1f3,rnbqkbnr/ppp1pppp/8/3p4/8/6P1/PPPPPP1P/RNBQKBNR w KQkq - 0 2,0.38,w,fbce5f55-b2fd-11ee-8ec0-6cfe544c0428,win,180
598,c4b5,g2c6,r1b1kb1r/ppp2ppp/2n2n2/4p3/2Qq4/2N3P1/PP1PPPBP/R1B1K1NR w KQkq - 1 7,4.199999999999999,w,fbce5f55-b2fd-11ee-8ec0-6cfe544c0428,win,180
599,f1g2,g1f3,rnbqkbnr/ppp1pppp/8/3p4/8/6P1/PPPPPP1P/RNBQKBNR w KQkq - 0 2,0.39,w,505885d9-b2fe-11ee-8ec0-6cfe544c0428,win,180
600,b1c3,c4d5,rnbqkb1r/ppp2ppp/5n2/3pp3/2P5/6P1/PP1PPPBP/RNBQK1NR w KQkq - 1 4,1.12,w,505885d9-b2fe-11ee-8ec0-6cfe544c0428,win,180
601,a4c4,g2c6,r1bqkb1r/ppp2ppp/2n2n2/4p3/Q1p5/2N3P1/PP1PPPBP/R1B1K1NR w KQkq - 2 6,0.30000000000000004,w,505885d9-b2fe-11ee-8ec0-6cfe544c0428,win,180
602,c4b5,g2c6,r1b1kb1r/ppp2ppp/2n2n2/4p3/2Qq4/2N3P1/PP1PPPBP/R1B1K1NR w KQkq - 1 7,4.1899999999999995,w,505885d9-b2fe-11ee-8ec0-6cfe544c0428,win,180
603,d4d1,d4e3,r1bqkbnr/pppp1ppp/2n5/8/3QP3/8/PPP2PPP/RNB1KBNR w KQkq - 1 4,0.36,w,77efc24a-b2ff-11ee-8ec0-6cfe544c0428,checkmated,180
604,d2d3,d2d4,rnbqkbnr/ppp1pppp/3p4/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,0.38999999999999996,w,eeae34ed-b300-11ee-8ec0-6cfe544c0428,checkmated,180
605,d1d2,c2c3,rnbq1rk1/pp2ppbp/2pp1np1/8/4P3/3PBN2/PPP1BPPP/RN1Q1RK1 w - - 0 7,0.32999999999999996,w,eeae34ed-b300-11ee-8ec0-6cfe544c0428,checkmated,180
